state,topic,value
Hessen,Materialwissenschaft und Werkstofftechnik,47
Mecklenburg-Vorpommern,Materialwissenschaft und Werkstofftechnik,1
Niedersachsen,Materialwissenschaft und Werkstofftechnik,85
Nordrhein-Westfalen,Materialwissenschaft und Werkstofftechnik,225
Rheinland-Pfalz,Materialwissenschaft und Werkstofftechnik,11
Sachsen,Materialwissenschaft und Werkstofftechnik,103
Sachsen-Anhalt,Materialwissenschaft und Werkstofftechnik,8
Schleswig-Holstein,Materialwissenschaft und Werkstofftechnik,1
Baden-Württemberg,Mathematik,73
Bayern,Mathematik,97
Berlin,Mathematik,98
Brandenburg,Mathematik,17
Bremen,Mathematik,4
Hamburg,Mathematik,36
Hessen,Mathematik,26
Mecklenburg-Vorpommern,Mathematik,1
Niedersachsen,Mathematik,10
Nordrhein-Westfalen,Mathematik,244
Rheinland-Pfalz,Mathematik,76
Sachsen,Mathematik,17
Sachsen-Anhalt,Mathematik,1
Schleswig-Holstein,Mathematik,0
Baden-Württemberg,Medizin,963
Bayern,Medizin,1388
Berlin,Medizin,411
Brandenburg,Medizin,3
Bremen,Medizin,1
Hamburg,Medizin,414
Hessen,Medizin,102
Mecklenburg-Vorpommern,Medizin,34
Niedersachsen,Medizin,485
Nordrhein-Westfalen,Medizin,818
Rheinland-Pfalz,Medizin,254
Sachsen,Medizin,47
Sachsen-Anhalt,Medizin,149
Schleswig-Holstein,Medizin,72
Baden-Württemberg,Physik,255
Bayern,Physik,417
Berlin,Physik,141
Brandenburg,Physik,8
Bremen,Physik,6
Hamburg,Physik,270
Hessen,Physik,62
Mecklenburg-Vorpommern,Physik,6
Niedersachsen,Physik,165
Nordrhein-Westfalen,Physik,441
Rheinland-Pfalz,Physik,91
Sachsen,Physik,53
Sachsen-Anhalt,Physik,68
Schleswig-Holstein,Physik,0
Baden-Württemberg,Sozial- und Verhaltenswissenschaften,47
Bayern,Sozial- und Verhaltenswissenschaften,86
Berlin,Sozial- und Verhaltenswissenschaften,62
Brandenburg,Sozial- und Verhaltenswissenschaften,6
Bremen,Sozial- und Verhaltenswissenschaften,59
Hamburg,Sozial- und Verhaltenswissenschaften,39
Hessen,Sozial- und Verhaltenswissenschaften,40
Mecklenburg-Vorpommern,Sozial- und Verhaltenswissenschaften,1
Niedersachsen,Sozial- und Verhaltenswissenschaften,15
Nordrhein-Westfalen,Sozial- und Verhaltenswissenschaften,112
Rheinland-Pfalz,Sozial- und Verhaltenswissenschaften,4
Sachsen,Sozial- und Verhaltenswissenschaften,15
Sachsen-Anhalt,Sozial- und Verhaltenswissenschaften,2
Schleswig-Holstein,Sozial- und Verhaltenswissenschaften,2
Baden-Württemberg,Wärmetechnik/Verfahrenstechnik,46
Bayern,Wärmetechnik/Verfahrenstechnik,102
Berlin,Wärmetechnik/Verfahrenstechnik,80
Brandenburg,Wärmetechnik/Verfahrenstechnik,1
Bremen,Wärmetechnik/Verfahrenstechnik,21
Hamburg,Wärmetechnik/Verfahrenstechnik,0
Hessen,Wärmetechnik/Verfahrenstechnik,55
Mecklenburg-Vorpommern,Wärmetechnik/Verfahrenstechnik,2
Niedersachsen,Wärmetechnik/Verfahrenstechnik,55
Nordrhein-Westfalen,Wärmetechnik/Verfahrenstechnik,149
Rheinland-Pfalz,Wärmetechnik/Verfahrenstechnik,16
Sachsen,Wärmetechnik/Verfahrenstechnik,35
Sachsen-Anhalt,Wärmetechnik/Verfahrenstechnik,16
Schleswig-Holstein,Wärmetechnik/Verfahrenstechnik,0
